window_mid_s,score_mean,score_soft_quorum_gate,score_quorum_offset_gate,prn_count,soft_high_fraction
103.0,1.2937647246084452,2.3287765042952016,3.5287765042952017,10,0.4
103.5,1.0647502996030649,2.1295005992061298,3.6295005992061298,10,0.5
104.0,1.1907935910307645,2.1434284638553764,3.3434284638553766,10,0.4
104.5,1.3039948976385882,2.347190815749459,3.547190815749459,10,0.4
105.0,1.049446617198973,1.6791145875183568,2.5791145875183568,10,0.3
105.5,1.0265725100996705,2.053145020199341,3.553145020199341,10,0.5
106.0,1.1623094232137359,2.557080731070219,4.357080731070219,10,0.6
106.5,1.2005293583266963,2.4010587166533925,3.9010587166533925,10,0.5
107.0,1.0700836905027908,1.9261506429050235,3.1261506429050234,10,0.4
107.5,1.0461637487208848,1.8830947476975928,3.0830947476975927,10,0.4
108.0,0.9728307325535221,1.7510953185963398,2.95109531859634,10,0.4
108.5,0.9671551717596397,1.5474482748154237,2.4474482748154234,10,0.3
109.0,1.1650191139433514,2.0970344050980327,3.297034405098033,10,0.4
109.5,1.171189774944792,1.873903639911667,2.773903639911667,10,0.3
110.0,1.0568949233617055,1.691031877378729,2.591031877378729,10,0.3
110.5,1.3562343394429817,2.98371554677456,4.78371554677456,10,0.6
111.0,1.1915154189866646,2.1447277541759964,3.3447277541759965,10,0.4
111.5,1.1335098772085153,2.2670197544170305,3.7670197544170305,10,0.5
112.0,1.217329702980475,2.43465940596095,3.93465940596095,10,0.5
112.5,1.3508840662602632,2.9719449457725795,4.77194494577258,10,0.6
113.0,1.3306883723969398,2.6613767447938796,4.16137674479388,10,0.5
113.5,1.2189062447658845,2.194031240578592,3.394031240578592,10,0.4
114.0,1.8443292949761343,4.795256166937949,7.195256166937949,10,0.8
114.5,2.530204818006543,7.084573490418319,9.78457349041832,10,0.9
115.0,2.613428939785353,7.840286819356059,10.84028681935606,10,1.0
115.5,2.6889418651835646,8.066825595550693,11.066825595550693,10,1.0
116.0,2.650406608426615,7.951219825279845,10.951219825279846,10,1.0
116.5,2.6288530907387195,7.886559272216159,10.886559272216159,10,1.0
117.0,2.6500766856784277,7.950230057035283,10.950230057035283,10,1.0
117.5,2.691950369828786,7.5374610355206,10.2374610355206,10,0.9
118.0,2.5689264655918427,7.192994103657159,9.89299410365716,10,0.9
118.5,2.409775141135519,6.265415366952349,8.665415366952349,10,0.8
119.0,2.463568689821518,5.9125648555716435,8.012564855571643,10,0.7
119.5,2.4563946474656935,7.369183942397081,10.36918394239708,10,1.0
120.0,2.645247173678769,7.406692086300553,10.106692086300553,10,0.9
120.5,2.6667988319458584,7.467036729448403,10.167036729448403,10,0.9
121.0,2.6207814795206144,7.862344438561843,10.862344438561843,10,1.0
121.5,2.4331246145210352,7.299373843563106,10.299373843563107,10,1.0
122.0,2.464899895710146,6.901719707988408,9.601719707988408,10,0.9
122.5,2.401904696281499,7.2057140888444975,10.205714088844498,10,1.0
123.0,2.437298926299032,6.824436993637289,9.52443699363729,10,0.9
123.5,2.4737680149820624,6.926550441949774,9.626550441949774,10,0.9
124.0,2.342789157450115,6.091251809370299,8.4912518093703,10,0.8
124.5,2.3686307818991517,6.6321661893176245,9.332166189317626,10,0.9
125.0,2.487299522099751,7.461898566299253,10.461898566299254,10,1.0
125.5,2.633383511329479,7.9001505339884375,10.900150533988437,10,1.0
126.0,2.5702729720362814,7.710818916108844,10.710818916108844,10,1.0
126.5,2.3802182256452062,7.140654676935618,10.140654676935618,10,1.0
127.0,2.467252173836501,7.401756521509503,10.401756521509503,10,1.0
127.5,2.4781197655806517,7.434359296741955,10.434359296741956,9,1.0
