window_mid_s,score_mean,score_q75,score_q75_quorum,prn_count,high_fraction
99.5,1.3581478720976672,1.8891438961686342,4.189373402720404,10,0.3
100.0,1.1840272836066001,1.3912159895743015,2.6259455833188823,10,0.2
100.5,1.1485997248386581,1.3971693094297468,2.016320102258671,10,0.1
101.0,1.2636148392287867,1.6302709091212972,3.008433454594076,10,0.2
101.5,1.162336454282837,1.6180779473323572,2.3035013315320647,10,0.1
102.0,1.2472112725968203,1.4963425778550556,2.794148124568089,10,0.2
102.5,1.379607243090187,2.0307892282071416,4.458499533593569,10,0.3
103.0,1.2722036420943432,2.1475352564216736,4.680316987201179,10,0.3
103.5,1.11800117557094,1.3460489493736931,1.949863634185801,10,0.1
104.0,1.170374943776616,1.707834102282025,3.13253456365124,10,0.2
104.5,1.3174973694362957,1.5625790948383274,2.900126551741324,10,0.2
105.0,1.1724085928709462,1.5994801396264327,2.2793241815143626,10,0.1
105.5,1.054030410138282,1.3491821194874056,1.9539367553336273,10,0.1
106.0,1.19072447332705,1.482420245920134,2.1271463196961746,10,0.1
106.5,1.269001050084513,1.5770611281628122,2.9232978050604994,10,0.2
107.0,1.1577023205309644,1.3885239244029604,2.0050811017238486,10,0.1
107.5,1.1565135937445052,1.5739864233917702,2.2461823504093017,10,0.1
108.0,1.1142673359542015,1.5675846024263793,2.908135363882207,10,0.2
108.5,1.0858090212614908,1.2477082399175958,2.3963331838681534,10,0.2
109.0,1.191661633720454,1.3593097547405457,2.5748956075848732,10,0.2
109.5,1.1972082235183563,1.5294818010620477,2.8471708816992765,10,0.2
110.0,1.1754971168678217,1.702503302594296,3.1240052841508734,10,0.2
110.5,1.3990644499889653,2.0221167549256736,4.44202183435878,10,0.3
111.0,1.1921323927406444,1.714449691804262,3.143119506886819,10,0.2
111.5,1.1582025176267712,1.5352872252833372,2.1958733928683385,10,0.1
112.0,1.2147720398464137,1.6116353781005377,2.2951259915306994,10,0.1
112.5,1.2637582022922758,1.909506763707552,4.228062851044348,10,0.3
113.0,1.2648192726762446,1.7435201912042044,3.189632305926727,10,0.2
113.5,1.2106962980960698,1.5798165056982663,2.2537614574077462,10,0.1
114.0,1.6583117811210086,2.1092397888439325,6.273099472109831,10,0.5
114.5,2.288907866010455,2.936403582652274,8.341008956630684,10,0.5
115.0,2.4308445942770973,3.2602254169126805,10.328631167355503,10,0.6
115.5,2.4345339754546815,3.0557112540868046,9.755991511443051,10,0.6
116.0,2.3657556076880235,2.6026811418072353,8.487507197060259,10,0.6
116.5,2.35374978129405,2.693163000069509,7.732907500173773,10,0.5
117.0,2.435850495833988,2.906356467351402,9.337798108583925,10,0.6
117.5,2.4863449710642116,3.1290711464405025,11.100120553965557,10,0.7
118.0,2.364532803118158,2.9817432882190564,8.454358220547642,10,0.5
118.5,2.196238788315191,2.847649311839097,8.119123279597742,10,0.5
119.0,2.251167708163806,2.9529629160613,8.38240729015325,10,0.5
119.5,2.2466540702231073,2.924619276211021,8.311548190527553,10,0.5
120.0,2.3918989573578826,3.3164649739775656,9.291162434943914,10,0.5
120.5,2.366310070093591,3.3744701374047765,9.436175343511941,10,0.5
121.0,2.338183502690093,3.255781075241815,10.31618701067708,10,0.6
121.5,2.19869349796438,2.826128553343559,7.01748281735583,10,0.4
122.0,2.3241132608106305,2.953994911458859,8.384987278647147,10,0.5
122.5,2.286554184461179,2.7890490352503536,7.972622588125884,10,0.5
123.0,2.202441786806836,2.93422263418199,7.255289795200379,10,0.4
123.5,2.2440467759477136,3.150378848587355,8.875947121468387,10,0.5
124.0,2.1569240590899,2.858921869625026,8.147304674062564,10,0.5
124.5,2.2163665858772768,2.834738377463996,8.08684594365999,10,0.5
125.0,2.4049202338875704,3.1720900985259153,11.233479305430336,10,0.7
125.5,2.3889249719371164,3.2145601389372533,9.036400347343132,10,0.5
126.0,2.3668336452104466,2.8586718111172997,9.204281071128438,10,0.6
126.5,2.2350399478834047,2.6582665141363364,8.64314623958174,10,0.6
127.0,2.2936758386785883,2.904769692088319,8.261924230220798,10,0.5
127.5,2.389294157915964,3.422292783469162,8.8742387169836,9,0.4444444444444444
