scenario,family,phase,time_s,method,budget,tracked_prn_count,used_prn_count,prn_scores_json,pooled_score,calibrated_score
ds7,ds7_ds8,strict_pre,103.995594748,learned_fixed,16,10,10,"{""10"": -2.595102296425621, ""13"": -3.1859845909339186, ""16"": -1.9584464737526364, ""19"": -2.3889911115130906, ""20"": -2.3775203207696856, ""23"": -2.114384203552569, ""3"": -1.948027637028098, ""30"": -2.2794675979907284, ""6"": -2.3473771334762716, ""7"": -2.9117840079479587}",-2.3624487271229784,0.40465534537298053
ds7,ds7_ds8,strict_pre,103.995594748,previous_acaf_r1_proxy,187,10,10,"{""10"": 0.002560969674959779, ""13"": 0.0005045692669227719, ""16"": 0.0005328372353687882, ""19"": 0.0008143255254253745, ""20"": 0.002513524377718568, ""23"": 0.00031833656248636544, ""3"": 0.00045067351311445236, ""30"": 0.006101973354816437, ""6"": 0.0010969192953780293, ""7"": 0.003938034176826477}",0.0009556224104017019,-0.15609478421800266
ds7,ds7_ds8,strict_pre,103.995594748,prompt_magnitude_only,0,10,10,"{""10"": 2317050.5292403502, ""13"": 6178857.252679315, ""16"": 5342393.323963071, ""19"": 4531642.250848094, ""20"": 2035774.4762253282, ""23"": 6449029.554547152, ""3"": 5991515.244441109, ""30"": 2521735.357057508, ""6"": 4598614.1290856665, ""7"": 4187751.897213743}",4565128.18996688,0.33388734403262416
ds7,ds7_ds8,strict_pre,103.995594748,random_fixed,3,10,10,"{""10"": -2.1411501291029804, ""13"": -2.101775529324557, ""16"": -2.0672231251474984, ""19"": -2.054041520241116, ""20"": -2.00449441915499, ""23"": -2.0905857204156106, ""3"": -2.245161772231562, ""30"": -2.3790542365755774, ""6"": -2.092044667424518, ""7"": -2.1986513435780664}",-2.0969100983745372,1.5279278073893685
ds7,ds7_ds8,strict_pre,103.995594748,random_fixed,5,10,10,"{""10"": -3.4539313431044176, ""13"": -3.7850025249118593, ""16"": -3.7738000039735966, ""19"": -3.653931680655751, ""20"": -3.5190844250481925, ""23"": -3.746763836143633, ""3"": -3.870392145712308, ""30"": -3.5759765206319485, ""6"": -3.661787387778889, ""7"": -4.089804935795573}",-3.704275611961261,4.840376085882961
ds7,ds7_ds8,strict_pre,103.995594748,random_fixed,9,10,10,"{""10"": -3.5174244644017665, ""13"": -3.8068095643961026, ""16"": -3.7362143530219063, ""19"": -3.767808443681248, ""20"": -3.879951993088758, ""23"": -3.7904863974696528, ""3"": -3.9331509089626575, ""30"": -3.8156191476089756, ""6"": -3.719479111810069, ""7"": -3.9769428330704932}",-3.798647980932878,0.9525165309015419
ds7,ds7_ds8,strict_pre,103.995594748,random_fixed,16,10,10,"{""10"": -4.4828493921683235, ""13"": -4.723511511359816, ""16"": -4.695861029519579, ""19"": -4.631745693729636, ""20"": -4.6475668281027644, ""23"": -4.682378944120621, ""3"": -4.852358035519841, ""30"": -4.563814237163992, ""6"": -4.578564574025261, ""7"": -4.896576912956973}",-4.664972886111693,1.6184410063181591
ds7,ds7_ds8,strict_pre,103.995594748,raw_power_only,0,10,10,"{""10"": 5553435.078446, ""13"": 5552369.95284, ""16"": 5567257.763938, ""19"": 5551705.22209, ""20"": 5550985.462661999, ""23"": 5552222.684280001, ""3"": 5551447.306944, ""30"": 5552161.174214, ""6"": 5551999.356682, ""7"": 5550869.230176}",5552080.265448,0.1578628853358498
ds7,ds7_ds8,strict_pre,103.995594748,uniform_fixed,3,10,10,"{""10"": 4.202814210265068, ""13"": 2.532822230441888, ""16"": 4.012851147999178, ""19"": 3.9592742906593887, ""20"": 4.295934038189654, ""23"": 4.010452811726079, ""3"": 3.892514494518538, ""30"": 5.081691680813775, ""6"": 4.220457281667024, ""7"": 2.0771379098756126}",4.011651979862629,0.9584679105437731
ds7,ds7_ds8,strict_pre,103.995594748,uniform_fixed,5,10,10,"{""10"": 3.1707988114177583, ""13"": 1.9592519360421967, ""16"": 2.9986649324404633, ""19"": 2.933198215336824, ""20"": 2.5241892798856886, ""23"": 3.129612556640891, ""3"": 2.8910106392423116, ""30"": 3.2218492552187117, ""6"": 3.0947149608324844, ""7"": 0.4354067252157721}",2.9659315738886436,1.8125536077044788
