scenario,phase,method,budget,n,mean_score,alarm_fraction,tracked_prn_min
cleanStatic,train,active_context,9,18,0.6305639135224533,0.16666666666666666,10
cleanStatic,train,active_magnitude,3,18,0.2485984164490109,0.0,10
cleanStatic,train,active_magnitude,5,18,0.2493704091874998,0.0,10
cleanStatic,train,active_magnitude,9,18,-0.2825593223630858,0.0,10
cleanStatic,train,active_no_context,9,18,-0.23253869832368038,0.0,10
cleanStatic,train,analytic_two_source_glrt,187,18,-0.15608827906735526,0.05555555555555555,10
cleanStatic,train,dense_nf,187,18,0.713652268944635,0.05555555555555555,10
cleanStatic,train,dense_one_source_residual,187,18,0.06828564927281652,0.0,10
cleanStatic,train,epl_3,3,18,0.18298876167621683,0.0,10
cleanStatic,train,epl_3_complex,3,18,-0.2307847601684832,0.0,10
cleanStatic,train,fixed_9_delay_tap_complex,9,18,0.5456094933801519,0.0,10
cleanStatic,train,fixed_delay_9,9,18,0.3940733533053583,0.1111111111111111,10
cleanStatic,train,learned_fixed,3,18,-0.3747191342552224,0.0,10
cleanStatic,train,learned_fixed,5,18,-0.22420223268208733,0.0,10
cleanStatic,train,learned_fixed,9,18,-0.23253869832368038,0.0,10
cleanStatic,train,learned_fixed,16,18,-0.09240828530003316,0.0,10
cleanStatic,train,previous_acaf_r1_proxy,187,18,-0.0681640622124558,0.0,10
cleanStatic,train,prompt_magnitude_only,0,18,1.4391987588406525,0.3333333333333333,10
cleanStatic,train,random_fixed,3,18,0.7190273096745444,0.3888888888888889,10
cleanStatic,train,random_fixed,5,18,1.1475106356912617,0.0,10
cleanStatic,train,random_fixed,9,18,0.5266172831535734,0.0,10
cleanStatic,train,random_fixed,16,18,0.508855674710878,0.0,10
cleanStatic,train,raw_power_only,0,18,0.29131839365558776,0.2777777777777778,10
cleanStatic,train,uniform_fixed,3,18,-0.03998836627169595,0.0,10
cleanStatic,train,uniform_fixed,5,18,0.19946804962897152,0.0,10
cleanStatic,train,uniform_fixed,9,18,0.015100924814658603,0.1111111111111111,10
cleanStatic,train,uniform_fixed,16,18,0.01833120131425432,0.1111111111111111,10
