prn_count,trial,primary_pre_bin_count,primary_post_bin_count,legacy_pre_raw_alarm_rate,partial_f_pre_raw_alarm_rate,legacy_pre_persistent_alarm_rate,partial_f_pre_persistent_alarm_rate,pre_median_residual,pre_median_partial_f_p_value,pre_median_design_condition_number,legacy_ds7_persistent_detection,legacy_ds7_detection_delay_s,partial_f_ds7_persistent_detection,partial_f_ds7_detection_delay_s,partial_f_specificity_gate_passed
9,2,60,161,0.16666666666666666,0.15,0.016666666666666666,0.0,0.6502957778555714,0.5043354347048687,8.010569913071734,True,100.0,True,119.0,True
9,3,60,161,0.15,0.06666666666666667,0.0,0.0,0.6017634521378292,0.4295135726059254,5.658349150194944,True,40.0,True,119.0,True
9,4,60,161,0.13333333333333333,0.08333333333333333,0.0,0.0,0.6416766330661938,0.49105120931511015,6.49057038779503,True,75.0,True,119.0,True
9,5,60,161,0.13333333333333333,0.08333333333333333,0.0,0.0,0.6416766330661938,0.49105120931511015,6.490570387795032,True,75.0,True,119.0,True
9,6,60,161,0.13333333333333333,0.08333333333333333,0.03333333333333333,0.0,0.5589092744130109,0.36718232441755216,6.2480804787967035,True,68.0,True,119.0,True
9,7,60,161,0.13333333333333333,0.08333333333333333,0.03333333333333333,0.0,0.5452732280531241,0.34796617462426416,6.245452599423336,True,68.0,True,119.0,True
9,8,60,161,0.15,0.06666666666666667,0.0,0.0,0.5769718733789144,0.39296172115251743,5.694055377754062,True,66.0,True,66.0,True
9,9,60,161,0.16666666666666666,0.15,0.016666666666666666,0.0,0.6519378103528495,0.5069343765414209,8.010569913071734,True,100.0,True,119.0,True
9,10,60,161,0.16666666666666666,0.15,0.016666666666666666,0.0,0.6519378103528495,0.5069343765414209,8.01056991307173,True,100.0,True,119.0,True
9,11,60,161,0.15,0.06666666666666667,0.0,0.0,0.5769718733789145,0.3929617211525174,5.691912901270944,True,19.0,True,66.0,True
9,12,60,161,0.16666666666666666,0.15,0.016666666666666666,0.0,0.6489928204604476,0.5022784372311652,8.01056991307173,True,100.0,True,119.0,True
9,13,60,161,0.15,0.06666666666666667,0.0,0.0,0.5769718733789144,0.3929617211525174,5.691912901270948,True,48.0,True,66.0,True
9,14,60,161,0.15,0.06666666666666667,0.0,0.0,0.6080819315532009,0.43904471400954037,5.658349150194944,True,75.0,True,119.0,True
9,15,60,161,0.15,0.06666666666666667,0.0,0.0,0.5769718733789144,0.39296172115251726,5.694055377754063,True,66.0,True,66.0,True
9,16,60,161,0.15,0.1,0.05,0.0,0.5861876846354813,0.40637794180122033,5.582739598017018,True,100.0,True,100.0,True
9,17,60,161,0.16666666666666666,0.11666666666666667,0.05,0.0,0.5861876846354812,0.40637794180122,5.582739598017018,True,19.0,True,100.0,True
9,18,60,161,0.15,0.06666666666666667,0.0,0.0,0.5769718733789144,0.3929617211525172,5.691912901270948,True,19.0,True,66.0,True
9,19,60,161,0.16666666666666666,0.11666666666666667,0.0,0.0,0.598234703363975,0.424227922143425,5.7261925513867205,True,98.0,True,119.0,True
9,20,60,161,0.13333333333333333,0.08333333333333333,0.03333333333333333,0.0,0.5452732280531242,0.3479661746242641,6.245452599423336,True,68.0,True,119.0,True
9,21,60,161,0.16666666666666666,0.11666666666666667,0.0,0.0,0.598234703363975,0.424227922143425,5.726192551386721,True,98.0,True,119.0,True
9,22,60,161,0.18333333333333332,0.05,0.0,0.0,0.5832088410477504,0.4021595454897452,7.499429592796166,True,50.0,True,120.0,True
9,23,60,161,0.16666666666666666,0.03333333333333333,0.0,0.0,0.608891363055062,0.4404056796914789,7.501605500172914,True,120.0,True,120.0,True
9,24,60,161,0.16666666666666666,0.11666666666666667,0.05,0.0,0.5861876846354812,0.40637794180122017,5.582739598017017,True,19.0,True,100.0,True
9,25,60,161,0.15,0.05,0.0,0.0,0.6325595783053699,0.47657233072092553,6.227523967437128,True,119.0,True,119.0,True
9,26,60,161,0.16666666666666666,0.1,0.0,0.0,0.615982703021031,0.45115339235580965,5.5868813487897295,True,104.0,True,119.0,True
9,27,60,161,0.13333333333333333,0.08333333333333333,0.03333333333333333,0.0,0.5583867270045658,0.3664310498522202,6.245452599423336,True,43.0,True,119.0,True
9,28,60,161,0.13333333333333333,0.08333333333333333,0.03333333333333333,0.0,0.5589092744130109,0.36718232441755216,6.245452599423334,True,68.0,True,119.0,True
9,29,60,161,0.15,0.1,0.05,0.0,0.5945424979395744,0.41876038003084426,5.582739598017019,True,100.0,True,100.0,True
9,30,60,161,0.15,0.1,0.05,0.0,0.5868820459029697,0.40739663270016524,5.582739598017018,True,100.0,True,100.0,True
9,31,60,161,0.16666666666666666,0.03333333333333333,0.0,0.0,0.6088913630550619,0.44040567969147876,7.499429592796165,True,120.0,True,120.0,True
9,32,60,161,0.15,0.06666666666666667,0.0,0.0,0.5696988585082153,0.3824036663681234,5.694055377754067,True,19.0,True,66.0,True
