track,fold,experiment,model,view,training_view,train_count,test_count,train_spoof_count,train_prn_count,test_spoof_count,test_prn_count,train_block_count,test_block_count,scaler_fit_sample_count,threshold,auroc,auprc,balanced_accuracy,tpr_at_5pct_fpr,spoof_recall,prn_false_positive_rate,tn,fp,fn,tp
A,4,actual_oof,M0,actual,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,32,0,0,7
A,4,actual_oof,M1,actual,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,32,0,0,7
A,4,actual_oof,M2,actual,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,32,0,0,7
A,4,actual_oof,M2R,actual,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,0.546875,1.0,1.0,0.90625,3,29,0,7
A,4,actual_oof,M3,actual,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,32,0,0,7
A,4,destruction_retrained,M2,mismatched,mismatched,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,0.984375,1.0,1.0,0.03125,31,1,0,7
A,4,destruction_cross_apply,M2,mismatched,actual,177,39,85,92,7,32,6,2,177,0.5,0.5,0.1794871794871795,0.5,0.0,1.0,1.0,0,32,0,7
A,4,destruction_retrained,M2R,mismatched,mismatched,177,39,85,92,7,32,6,2,177,0.5,0.9776785714285714,0.9404761904761902,0.671875,0.8571428571428571,1.0,0.65625,11,21,0,7
A,4,destruction_cross_apply,M2R,mismatched,actual,177,39,85,92,7,32,6,2,177,0.5,0.9955357142857143,0.982142857142857,0.5,1.0,0.0,0.0,32,0,7,0
A,4,destruction_retrained,M2,circular_shift,circular_shift,177,39,85,92,7,32,6,2,177,0.5,0.9910714285714286,0.9682539682539681,0.90625,0.8571428571428571,1.0,0.1875,26,6,0,7
A,4,destruction_cross_apply,M2,circular_shift,actual,177,39,85,92,7,32,6,2,177,0.5,0.4419642857142857,0.16463716463716466,0.5,0.0,1.0,1.0,0,32,0,7
A,4,destruction_retrained,M2R,circular_shift,circular_shift,177,39,85,92,7,32,6,2,177,0.5,0.96875,0.9285714285714284,0.671875,0.8571428571428571,1.0,0.65625,11,21,0,7
A,4,destruction_cross_apply,M2R,circular_shift,actual,177,39,85,92,7,32,6,2,177,0.5,0.9821428571428571,0.9480519480519478,0.6428571428571428,0.8571428571428571,0.2857142857142857,0.0,32,0,5,2
A,4,destruction_retrained,M2,fourier_phase_randomized,fourier_phase_randomized,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,0.96875,1.0,1.0,0.0625,30,2,0,7
A,4,destruction_cross_apply,M2,fourier_phase_randomized,actual,177,39,85,92,7,32,6,2,177,0.5,0.42857142857142855,0.1609793715056873,0.5,0.0,1.0,1.0,0,32,0,7
A,4,destruction_retrained,M2R,fourier_phase_randomized,fourier_phase_randomized,177,39,85,92,7,32,6,2,177,0.5,0.9866071428571428,0.9571428571428571,0.71875,0.8571428571428571,1.0,0.5625,14,18,0,7
A,4,destruction_cross_apply,M2R,fourier_phase_randomized,actual,177,39,85,92,7,32,6,2,177,0.5,0.9866071428571428,0.9571428571428571,0.8571428571428572,0.8571428571428571,0.7142857142857143,0.0,32,0,2,5
A,4,stress_cross_apply,M2,channel_permutation,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,32,0,0,7
A,4,stress_cross_apply,M2R,channel_permutation,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,0.546875,1.0,1.0,0.90625,3,29,0,7
A,4,stress_cross_apply,M3,channel_permutation,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,0.5,1.0,1.0,1.0,0,32,0,7
A,4,stress_cross_apply,M2,one_channel_ablation,actual,177,39,85,92,7,32,6,2,177,0.5,0.546875,0.21933136891120084,0.5,0.0,0.0,0.0,32,0,7,0
A,4,stress_cross_apply,M2R,one_channel_ablation,actual,177,39,85,92,7,32,6,2,177,0.5,1.0,0.9999999999999998,0.5,1.0,0.0,0.0,32,0,7,0
A,4,stress_cross_apply,M3,one_channel_ablation,actual,177,39,85,92,7,32,6,2,177,0.5,0.5647321428571428,0.22511595547309834,0.5,0.0,1.0,1.0,0,32,0,7
