prompt_semantics,prompt_offset,state_shift,channel,prn,prompt_mat_row,state_mat_row,support_start_sample,mat_prompt_magnitude,reconstructed_center_magnitude,relative_error
current,0,0,1,5,143475,143474,6591683295,43807.48026948334,46935.62311528621,0.07140659144420036
current,0,1,1,5,143475,143475,6591708295,43807.48026948334,756291.1557310811,16.263972980840897
next,1,-1,1,5,143476,143473,6591658295,756289.6517455082,140111.8674094356,0.8147378228882823
next,1,0,1,5,143476,143474,6591683295,756289.6517455082,46935.62311528621,0.9379396200821216
next,1,1,1,5,143476,143475,6591708295,756289.6517455082,756291.1557310811,1.9886369850841135e-06
current,0,-1,1,5,143476,143474,6591683295,756289.6517455082,46935.62311528621,0.9379396200821216
current,0,0,1,5,143476,143475,6591708295,756289.6517455082,756291.1557310811,1.9886369850841135e-06
current,0,1,1,5,143476,143476,6591733295,756289.6517455082,326055.9369215345,0.5688742584682985
next,1,-1,1,5,143477,143474,6591683295,326056.33959216985,46935.62311528621,0.8560505734254604
next,1,0,1,5,143477,143475,6591708295,326056.33959216985,756291.1557310811,1.3195106608785694
next,1,1,1,5,143477,143476,6591733295,326056.33959216985,326055.9369215345,1.2349725690974367e-06
current,0,-1,1,5,143478,143476,6591733295,148588.6910939082,326055.9369215345,1.1943523058256624
current,0,0,1,5,143478,143477,6591758295,148588.6910939082,148588.2802073656,2.7652612022421863e-06
current,0,1,1,5,143478,143478,6591783295,148588.6910939082,1201032.0577585506,7.0829304633923815
next,1,-1,1,5,143479,143476,6591733295,1201032.240052782,326055.9369215345,0.728520246128276
next,1,0,1,5,143479,143477,6591758295,1201032.240052782,148588.2802073656,0.8762828546543966
next,1,1,1,5,143479,143478,6591783295,1201032.240052782,1201032.0577585506,1.517812971973953e-07
current,0,-1,1,5,143479,143477,6591758295,1201032.240052782,148588.2802073656,0.8762828546543966
current,0,0,1,5,143479,143478,6591783295,1201032.240052782,1201032.0577585506,1.517812971973953e-07
current,0,1,1,5,143479,143479,6591808295,1201032.240052782,1425959.9819257807,0.18727868775871803
next,1,-1,1,5,143480,143477,6591758295,1425957.0877597837,148588.2802073656,0.8957975092779252
next,1,0,1,5,143480,143478,6591783295,1425957.0877597837,1201032.0577585506,0.15773618430172842
next,1,1,1,5,143480,143479,6591808295,1425957.0877597837,1425959.9819257807,2.0296304998890236e-06
current,0,-1,1,5,143481,143479,6591808295,619653.2395967428,1425959.9819257807,1.3012225076944084
current,0,0,1,5,143481,143480,6591833295,619653.2395967428,619651.8424544664,2.2547163269770465e-06
current,0,1,1,5,143481,143481,6591858295,619653.2395967428,641866.7984320305,0.03584837037202271
next,1,-1,1,5,143482,143479,6591808295,644631.0660274175,1425959.9819257807,1.2120559449816084
next,1,0,1,5,143482,143480,6591833295,644631.0660274175,619651.8424544664,0.03874964284127247
next,1,1,1,5,143482,143481,6591858295,644631.0660274175,641866.7984320305,0.00428813896981739
current,0,-1,7,10,263108,263106,6593857495,2743970.753563327,2230999.5353477523,0.186944856299736
current,0,0,7,10,263108,263107,6593882495,2743970.753563327,2744151.6135567063,6.591177881354326e-05
current,0,1,7,10,263108,263108,6593907495,2743970.753563327,2603512.8976960746,0.051187810833935976
next,1,-1,7,10,263109,263106,6593857495,2603518.2308925083,2230999.5353477523,0.1430828066132087
next,1,0,7,10,263109,263107,6593882495,2603518.2308925083,2744151.6135567063,0.05401666905784941
next,1,1,7,10,263109,263108,6593907495,2603518.2308925083,2603512.8976960746,2.0484574950740964e-06
current,0,-1,3,20,263187,263185,6598568568,2624254.2025624164,2448092.6118747722,0.06712824943392814
current,0,0,3,20,263187,263186,6598593568,2624254.2025624164,2624257.4900862724,1.2527459620770287e-06
current,0,1,3,20,263187,263187,6598618568,2624254.2025624164,2939176.1510484684,0.12000436092606837
next,1,-1,3,20,263188,263185,6598568568,2939165.157527304,2448092.6118747722,0.1670789218478852
next,1,0,3,20,263188,263186,6598593568,2939165.157527304,2624257.4900862724,0.10714187552017684
next,1,1,3,20,263188,263187,6598618568,2939165.157527304,2939176.1510484684,3.7403550243730876e-06
current,0,-1,2,3,264134,264132,6604336322,5642613.686914954,5543418.089030741,0.017579725174921124
current,0,0,2,3,264134,264133,6604361322,5642613.686914954,5642555.486101648,1.0314513191223007e-05
current,0,1,2,3,264134,264134,6604386322,5642613.686914954,6175860.065194134,0.09450343544087758
next,1,-1,2,3,264135,264132,6604336322,6182565.770725715,5543418.089030741,0.10337903475630161
next,1,0,2,3,264135,264133,6604361322,6182565.770725715,5642555.486101648,0.08734404204497126
next,1,1,2,3,264135,264134,6604386322,6182565.770725715,6175860.065194134,0.0010846153167237693
current,0,-1,4,30,303658,303656,7596204597,2350307.9292263095,2279835.983228637,0.029984133194356
current,0,0,4,30,303658,303657,7596229597,2350307.9292263095,2350304.0363151603,1.6563408993253148e-06
current,0,1,4,30,303658,303658,7596254597,2350307.9292263095,1578286.5866649325,0.328476678719931
next,1,-1,4,30,303659,303656,7596204597,1578291.0194480445,2279835.983228637,0.44449658214866794
next,1,0,4,30,303659,303657,7596229597,1578291.0194480445,2350304.0363151603,0.4891449088629434
next,1,1,4,30,303659,303658,7596254597,1578291.0194480445,1578286.5866649325,2.808596803349772e-06
current,0,-1,0,16,305425,305423,7637668794,5223656.527485166,5440447.4482528,0.041501756408935275
current,0,0,0,16,305425,305424,7637693794,5223656.527485166,5225585.280871613,0.0003692343430887757
current,0,1,0,16,305425,305425,7637718794,5223656.527485166,5931710.212133498,0.13554751942873478
next,1,-1,0,16,305426,305423,7637668794,5931724.6974754715,5440447.4482528,0.08282199095176457
next,1,0,0,16,305426,305424,7637693794,5931724.6974754715,5225585.280871613,0.1190445363899626
next,1,1,0,16,305426,305425,7637718794,5931724.6974754715,5931710.212133498,2.44201184518289e-06
current,0,-1,5,6,305615,305613,7641393966,4618059.476454848,5346563.479703124,0.15775110887214616
current,0,0,5,6,305615,305614,7641418966,4618059.476454848,4618045.245614916,3.0815627223290676e-06
current,0,1,5,6,305615,305615,7641443966,4618059.476454848,4694512.568743813,0.016555242018592375
next,1,-1,5,6,305616,305613,7641393966,4694527.444450837,5346563.479703124,0.13889279442237057
next,1,0,5,6,305616,305614,7641418966,4694527.444450837,4618045.245614916,0.016291777977850863
next,1,1,5,6,305616,305615,7641443966,4694527.444450837,4694512.568743813,3.1687336371488684e-06
current,0,-1,10,23,305807,305805,7648167526,6242972.475521227,6962924.817494264,0.11532204327281259
current,0,0,10,23,305807,305806,7648192526,6242972.475521227,6242962.657460332,1.5726580461228323e-06
current,0,1,10,23,305807,305807,7648217526,6242972.475521227,6845270.543588642,0.09647616907315104
next,1,-1,10,23,305808,305805,7648167526,6845303.875503469,6962924.817494264,0.017182720318919875
next,1,0,10,23,305808,305806,7648192526,6845303.875503469,6242962.657460332,0.08799334974721418
next,1,1,10,23,305808,305807,7648217526,6845303.875503469,6845270.543588642,4.869311199806603e-06
current,0,-1,9,19,306333,306331,7660327404,4959687.744256098,5289025.50609546,0.06640292268818215
current,0,0,9,19,306333,306332,7660352404,4959687.744256098,4959678.662265419,1.8311617882016407e-06
current,0,1,9,19,306333,306333,7660377404,4959687.744256098,5121890.739521275,0.03270427567804601
next,1,-1,9,19,306334,306331,7660327404,5121888.878997562,5289025.50609546,0.032631833889103845
next,1,0,9,19,306334,306332,7660352404,5121888.878997562,4959678.662265419,0.03166999920620894
next,1,1,9,19,306334,306333,7660377404,5121888.878997562,5121890.739521275,3.632495271244096e-07
current,0,-1,6,7,306374,306372,7660347449,4286553.910898126,3990185.7192166084,0.06913903285528067
current,0,0,6,7,306374,306373,7660372449,4286553.910898126,4286575.023868195,4.925394736066124e-06
current,0,1,6,7,306374,306374,7660397449,4286553.910898126,3943349.616191011,0.08006531629861291
next,1,-1,6,7,306375,306372,7660347449,3943351.1555141876,3990185.7192166084,0.01187684328770211
next,1,0,6,7,306375,306373,7660372449,3943351.1555141876,4286575.023868195,0.08703862649261151
next,1,1,6,7,306375,306374,7660397449,3943351.1555141876,3943349.616191011,3.903591427878439e-07
current,0,-1,8,13,306535,306533,7665409693,6560357.791795745,6355835.552711762,0.031175470237271852
current,0,0,8,13,306535,306534,7665434693,6560357.791795745,6560395.24918095,5.709655844121642e-06
current,0,1,8,13,306535,306535,7665459693,6560357.791795745,6134626.948533108,0.06489445496327151
next,1,-1,8,13,306536,306533,7665409693,6134598.186891029,6355835.552711762,0.03606387233209385
