case_id,dataset,prn,is_target,delta_bic
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,13,False,-18.771997225936502
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,16,False,-21.128354670945555
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,19,True,822.6774224909022
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,30,False,1706.9766423008405
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,3,False,1452.5740798492916
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,13,False,35.110205590259284
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,16,False,-16.575942249968648
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,19,False,275.03117887862027
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,30,True,392.4159767529927
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,3,True,597.0405139625072
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,13,False,851.8157049417496
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,16,False,-16.18953741993755
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,19,False,-16.08902116958052
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,30,False,-9.803694707341492
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,3,False,442.04859732231125
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,13,True,299.06237457925454
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,16,False,-21.397904151119292
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,19,False,-18.372830519918352
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,30,False,-10.92797952517867
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,3,False,-21.65152309834957
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,13,False,-19.8123426460661
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,16,True,2665.390222468879
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,19,False,-21.07810922898352
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,30,False,-20.585627565626055
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,3,False,-16.36623592907563
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,13,False,-20.52152610803023
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,16,False,-20.686063359491527
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,19,True,297.32799683886697
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,30,False,10.820565653499216
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,3,False,1295.2941917739809
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,13,False,-6.765918063931167
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,16,False,-12.93492329120636
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,19,False,1191.9822206478566
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,30,True,72.22721444396302
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,3,True,569.0017971196212
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,13,False,949.4965780810453
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,16,False,-15.607168422546238
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,19,False,-8.115575985517353
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,30,False,88.68444365775213
TEXBAT.cleanStatic.single.16,TEXBAT.cleanStatic,3,False,184.41103705530986
TEXBAT.cleanStatic.single.16,TEXBAT.cleanStatic,13,True,349.5102545018308
TEXBAT.cleanStatic.single.16,TEXBAT.cleanStatic,16,False,-22.21310406178236
TEXBAT.cleanStatic.single.16,TEXBAT.cleanStatic,19,False,-19.024454716593027
