window_mid_s,score_mean,score_quorum_offset_gate,score_low_quorum_persistence_gate,prn_count,base_high_fraction,low_high_fraction,low_high_fraction_roll3
109.0,1.1650191139433514,3.297034405098033,3.4747023460275908,10,0.4,0.4,0.43333333333333357
109.5,1.171189774944792,2.773903639911667,3.4862209132302797,10,0.3,0.5,0.43333333333333357
110.0,1.0568949233617055,2.591031877378729,3.2728705236085185,10,0.3,0.4,0.43333333333333357
110.5,1.3562343394429817,4.78371554677456,4.212468678885964,10,0.6,0.6,0.5000000000000001
111.0,1.1915154189866646,3.3447277541759965,4.062465199239108,10,0.4,0.6,0.5333333333333335
111.5,1.1335098772085153,3.7670197544170305,4.1181544047115,10,0.5,0.5,0.5666666666666669
112.0,1.217329702980475,3.93465940596095,4.115814719492983,10,0.5,0.5,0.5333333333333335
112.5,1.3508840662602632,4.77194494577258,4.391827070271212,10,0.6,0.6,0.5333333333333335
113.0,1.3306883723969398,4.16137674479388,4.350089302953677,10,0.5,0.5,0.5333333333333335
113.5,1.2189062447658845,3.394031240578592,4.119072905849496,10,0.4,0.5,0.5333333333333335
114.0,1.8443292949761343,7.195256166937949,5.857524448947497,10,0.8,0.8,0.6000000000000002
114.5,2.530204818006543,9.78457349041832,8.44117188441614,10,0.9,0.9,0.7333333333333335
115.0,2.613428939785353,10.84028681935606,10.017601031398991,10,1.0,1.0,0.9000000000000002
115.5,2.6889418651835646,11.066825595550693,10.787562804538457,10,1.0,1.0,0.9666666666666668
116.0,2.650406608426615,10.951219825279846,10.951219825279846,10,1.0,1.0,1.0
116.5,2.6288530907387195,10.886559272216159,10.886559272216159,10,1.0,1.0,1.0
117.0,2.6500766856784277,10.950230057035283,10.950230057035283,10,1.0,1.0,1.0
117.5,2.691950369828786,10.2374610355206,11.075851109486358,10,0.9,1.0,1.0
118.0,2.5689264655918427,9.89299410365716,10.706779396775527,10,0.9,1.0,1.0
118.5,2.409775141135519,8.665415366952349,9.708022071255156,10,0.8,0.8,0.9333333333333336
119.0,2.463568689821518,8.012564855571643,9.333754418845484,10,0.7,0.8,0.8666666666666668
119.5,2.4563946474656935,10.36918394239708,9.314145369739563,10,1.0,1.0,0.8666666666666668
120.0,2.645247173678769,10.106692086300553,10.38304189787914,10,0.9,1.0,0.9333333333333336
120.5,2.6667988319458584,10.167036729448403,11.000396495837576,10,0.9,1.0,1.0
121.0,2.6207814795206144,10.862344438561843,10.862344438561843,10,1.0,1.0,1.0
121.5,2.4331246145210352,10.299373843563107,10.299373843563107,10,1.0,1.0,1.0
122.0,2.464899895710146,9.601719707988408,10.394699687130437,10,0.9,1.0,1.0
122.5,2.401904696281499,10.205714088844498,10.205714088844498,10,1.0,1.0,1.0
123.0,2.437298926299032,9.52443699363729,10.311896778897095,10,0.9,1.0,1.0
123.5,2.4737680149820624,9.626550441949774,10.421304044946186,10,0.9,1.0,1.0
124.0,2.342789157450115,8.4912518093703,9.772181528520338,10,0.8,0.9,0.9666666666666669
124.5,2.3686307818991517,9.332166189317626,9.590074908110903,10,0.9,0.9,0.9333333333333336
125.0,2.487299522099751,10.461898566299254,9.930258630019289,10,1.0,1.0,0.9333333333333336
125.5,2.633383511329479,10.900150533988437,10.62459163323314,10,1.0,1.0,0.9666666666666669
126.0,2.5702729720362814,10.710818916108844,10.710818916108844,10,1.0,1.0,1.0
126.5,2.3802182256452062,10.140654676935618,10.140654676935618,10,1.0,1.0,1.0
127.0,2.467252173836501,10.401756521509503,10.401756521509503,10,1.0,1.0,1.0
127.5,2.4781197655806517,10.434359296741956,10.434359296741956,9,1.0,1.0,1.0
