pair_id,condition,bin_index,prn_count,absolute_centered_correlation,truth_direction_r2,signed_affine_slope,estimated_to_truth_spread_ratio,median_template_distance,partial_f_p_value,raw_spoof_alarm
ccfs-s2-a-london,doppler-locked,14,11,0.40092778745614116,0.1607430907544767,0.32988885365405457,0.822813643691739,0.0332444559964168,0.42142080796418574,False
ccfs-s2-a-london,doppler-locked,15,11,0.7148554979865818,0.5110183830016438,0.6988730656997988,0.9776424293695744,0.0322901644196255,0.0294835157345022,True
ccfs-s2-a-london,doppler-locked,16,11,0.7419970771793309,0.55055966254267,0.6861026447125893,0.9246702794582132,0.030435423762045645,0.016155964082530706,True
ccfs-s2-a-london,doppler-locked,17,11,0.6439076447544038,0.4146170549731634,0.6099935757177346,0.9473308488989837,0.03499110848070181,0.2328234840154733,False
ccfs-s2-a-london,doppler-locked,18,11,0.7180809546935254,0.5156402574935649,0.6401217253198704,0.8914339269631127,0.03050605041236889,0.0003208394257139037,True
ccfs-s2-a-london,doppler-locked,19,11,0.1959527605690344,0.038397484374625326,0.2119219314739809,1.081495003482334,0.033008092764362194,0.7913590829529644,False
ccfs-s2-a-london,doppler-locked,20,11,0.8314460420109353,0.69130252077565,0.7397195709909682,0.8896783839416477,0.03313617089479874,0.03166308386109618,True
ccfs-s2-a-london,doppler-locked,21,11,0.2666286060268742,0.07109081355183411,0.2295554669082986,0.8609558829001307,0.03251926735834164,0.599112156894873,False
ccfs-s2-a-london,doppler-locked,22,11,0.43562313938999564,0.18976751957199556,0.4585638364403527,1.05266179634645,0.033562099728454906,0.43495856704637426,False
ccfs-s2-a-london,doppler-locked,23,11,0.5141255027763599,0.26432503260504486,0.44112183163591034,0.8580041823519393,0.032709233860500786,0.38455471048386825,False
ccfs-s2-a-london,doppler-locked,24,11,0.8305612647925436,0.6898320145737896,0.7822387517713225,0.9418194478004087,0.037214650611820374,0.02860825684776156,True
ccfs-s2-a-london,doppler-locked,25,11,0.4071519973472087,0.16577274894382144,0.41203633942398515,1.0119963603484698,0.03686935264856098,0.5249629304948109,False
ccfs-s2-a-london,doppler-locked,26,11,0.5834886667432645,0.34045902421783236,0.5905375305369741,1.0120805496241303,0.0350083154722463,0.09308994525134173,False
ccfs-s2-a-london,doppler-locked,27,11,0.8786193714901305,0.7719719999577119,0.7851562133212975,0.8936249743614002,0.036297436684099835,0.009764119164291879,True
ccfs-s2-a-london,doppler-locked,28,11,0.4187083096266295,0.17531664855038945,0.3734912339896673,0.8920081722827923,0.036173785239990694,0.6618752394213091,False
ccfs-s2-a-london,doppler-locked,29,11,0.43007041472560775,0.18496056162225624,0.44071436250112433,1.0247493140915254,0.032980109884532774,0.49440108971271435,False
ccfs-s3-a-sao-paulo,carrier-coupled,12,11,0.942935298826662,0.8891269777733265,1.1322697433096636,1.2007926150591661,0.04957117926197209,2.1149171364029758e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,13,11,0.8844239444520516,0.7822057135201257,1.1176671771720315,1.2637233356051731,0.05036915878866611,0.002144185984758999,True
ccfs-s3-a-sao-paulo,carrier-coupled,14,11,0.9509565086593678,0.9043182813616142,1.131193082101987,1.189531878483814,0.04677946192165274,6.477753036123116e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,15,11,0.8962864339955614,0.8033293717644798,1.0558252782847304,1.1779998427265705,0.04527615764347722,0.0005262146427524092,True
