pair_id,condition,bin_index,prn_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s4-a-sydney,doppler-locked,16,11,0.048688226323607114,48.84436798095703
ccfs-s4-a-sydney,doppler-locked,17,11,0.04388577567320116,49.94626998901367
ccfs-s4-a-sydney,doppler-locked,18,11,0.051254399123701236,49.13763618469238
ccfs-s4-a-sydney,doppler-locked,19,11,0.03862229752234737,47.95085906982422
ccfs-s4-a-sydney,doppler-locked,20,11,0.04114144904987714,48.66901779174805
ccfs-s4-a-sydney,doppler-locked,21,11,0.04337704242180066,49.79994201660156
ccfs-s4-a-sydney,doppler-locked,22,11,0.04731117833607161,49.142887115478516
ccfs-s4-a-sydney,doppler-locked,23,11,0.04787722237130093,49.62079620361328
ccfs-s4-a-sydney,doppler-locked,24,11,0.04128332360057708,48.90937805175781
ccfs-s4-a-sydney,doppler-locked,25,11,0.03873498914052903,49.169071197509766
ccfs-s4-a-sydney,doppler-locked,26,11,0.044324478054609186,48.75527572631836
ccfs-s4-a-sydney,doppler-locked,27,11,0.04034511557370105,49.58838653564453
ccfs-s4-a-sydney,doppler-locked,28,11,0.04661068363906753,50.79109191894531
ccfs-s4-a-sydney,doppler-locked,29,11,0.06288194172647028,50.509408950805664
ccfs-s5-a-nairobi,carrier-coupled,12,11,0.07477831168033822,47.687021255493164
ccfs-s5-a-nairobi,carrier-coupled,13,11,0.06055381573640684,48.83938026428223
ccfs-s5-a-nairobi,carrier-coupled,14,11,0.09311010754365023,49.88426971435547
ccfs-s5-a-nairobi,carrier-coupled,15,11,0.06092025011713417,49.37566375732422
ccfs-s5-a-nairobi,carrier-coupled,16,11,0.07236754922697357,49.51894950866699
ccfs-s5-a-nairobi,carrier-coupled,17,11,0.06786898552114688,49.232112884521484
ccfs-s5-a-nairobi,carrier-coupled,18,11,0.065999960039036,49.819149017333984
ccfs-s5-a-nairobi,carrier-coupled,19,11,0.06479084261254904,49.60453796386719
ccfs-s5-a-nairobi,carrier-coupled,20,11,0.10057767814639236,48.6452693939209
ccfs-s5-a-nairobi,carrier-coupled,21,11,0.18809425235966268,49.2109375
ccfs-s5-a-nairobi,carrier-coupled,22,11,0.09102328057643887,48.66550636291504
ccfs-s5-a-nairobi,carrier-coupled,23,11,0.11655008622915014,48.20038986206055
ccfs-s5-a-nairobi,carrier-coupled,24,11,0.0988861807763774,47.6683349609375
ccfs-s5-a-nairobi,carrier-coupled,25,11,0.1145924509425919,48.81939697265625
ccfs-s5-a-nairobi,carrier-coupled,26,11,0.13738980946928675,48.05685997009277
ccfs-s5-a-nairobi,carrier-coupled,27,11,0.09486437811205149,48.23643112182617
ccfs-s5-a-nairobi,carrier-coupled,28,11,0.11863125931111093,46.81318473815918
ccfs-s5-a-nairobi,carrier-coupled,29,11,0.09903101100158199,47.07912635803223
ccfs-s5-a-nairobi,doppler-locked,12,11,0.043702533564601444,48.827049255371094
ccfs-s5-a-nairobi,doppler-locked,13,11,0.045005046341130686,49.56598663330078
ccfs-s5-a-nairobi,doppler-locked,14,11,0.05438974773425222,49.85392761230469
ccfs-s5-a-nairobi,doppler-locked,15,11,0.04394311227531229,50.119789123535156
ccfs-s5-a-nairobi,doppler-locked,16,11,0.037799628282702835,49.5837516784668
ccfs-s5-a-nairobi,doppler-locked,17,11,0.04781248837923897,50.39860916137695
