pair_id,condition,bin_index,prn,sampled_epoch_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s1-a-tokyo,doppler-locked,14,G05,3,0.09246637323778603,43.72621536254883
ccfs-s1-a-tokyo,doppler-locked,15,G05,2,0.027487144714495412,43.78525733947754
ccfs-s1-a-tokyo,doppler-locked,16,G05,3,0.061914546692402754,44.90501022338867
ccfs-s1-a-tokyo,doppler-locked,17,G05,2,0.03679578354854961,44.90053749084473
ccfs-s1-a-tokyo,doppler-locked,18,G05,3,0.05136772107478563,44.78689956665039
ccfs-s1-a-tokyo,doppler-locked,19,G05,2,0.06586774897954337,45.15505790710449
ccfs-s1-a-tokyo,doppler-locked,20,G05,3,0.0792567063349739,45.928585052490234
ccfs-s1-a-tokyo,doppler-locked,21,G05,2,0.08557744238593208,46.52093505859375
ccfs-s1-a-tokyo,doppler-locked,22,G05,3,0.041759186506202424,47.22154998779297
ccfs-s1-a-tokyo,doppler-locked,23,G05,2,0.1059445880458505,46.99287796020508
ccfs-s1-a-tokyo,doppler-locked,24,G05,3,0.05625690326717044,46.20939254760742
ccfs-s1-a-tokyo,doppler-locked,25,G05,2,0.10565503527392164,44.97629928588867
ccfs-s1-a-tokyo,doppler-locked,26,G05,3,0.11928851468801772,44.2979850769043
ccfs-s1-a-tokyo,doppler-locked,27,G05,2,0.08397816725692583,44.89365005493164
ccfs-s1-a-tokyo,doppler-locked,28,G05,3,0.05911801840862971,45.4932975769043
ccfs-s1-a-tokyo,doppler-locked,29,G05,2,0.11138968611600163,45.868906021118164
ccfs-s1-a-tokyo,doppler-locked,12,G24,14,0.02098767863201967,56.336238861083984
ccfs-s1-a-tokyo,doppler-locked,13,G24,2,0.036228201804676535,56.50874900817871
ccfs-s1-a-tokyo,doppler-locked,14,G24,3,0.014108913559017517,57.624813079833984
ccfs-s1-a-tokyo,doppler-locked,15,G24,2,0.017814768576178724,57.63252639770508
ccfs-s1-a-tokyo,doppler-locked,16,G24,3,0.02410150865699656,58.58022689819336
ccfs-s1-a-tokyo,doppler-locked,17,G24,2,0.01485297198954298,56.35836982727051
ccfs-s1-a-tokyo,doppler-locked,18,G24,3,0.02575235643111136,55.4000358581543
ccfs-s1-a-tokyo,doppler-locked,19,G24,2,0.012626429279792946,54.443939208984375
ccfs-s1-a-tokyo,doppler-locked,20,G24,3,0.020033370620190716,55.82350540161133
ccfs-s1-a-tokyo,doppler-locked,21,G24,2,0.012755827894108358,55.75633239746094
ccfs-s1-a-tokyo,doppler-locked,22,G24,3,0.011989574813745676,54.49556350708008
ccfs-s1-a-tokyo,doppler-locked,23,G24,2,0.025491242753608246,55.37931251525879
ccfs-s1-a-tokyo,doppler-locked,24,G24,3,0.020039859883561204,57.137245178222656
ccfs-s1-a-tokyo,doppler-locked,25,G24,2,0.02214069105747493,55.691471099853516
ccfs-s1-a-tokyo,doppler-locked,26,G24,3,0.0270053544322992,57.88032913208008
ccfs-s1-a-tokyo,doppler-locked,27,G24,2,0.016924343090530886,57.56027793884277
