feature,pre_absz_median,post_absz_median,delta_post_minus_pre,post_absz_q95,pre_absz_q95
prompt_mag_cv,0.6530762119704109,0.6945843980014922,0.04150818603108131,3.2441022878166432,3.3587339327374734
tap_P_cv,0.6530762311548924,0.6945844081397045,0.04150817698481202,3.244102566597583,3.3587341800206603
tap_L_cv,0.649654139550897,0.6887297714567852,0.03907563190588814,3.1265429465098893,3.3008981227082335
tap_E_cv,0.6581788701552554,0.6947631206822014,0.036584250526945916,3.160593862935191,3.3508654204367394
code_err_std,0.6443915664731252,0.661916705541653,0.017525139068527817,3.332836383756375,4.09488249764536
code_err_abs_mean,0.6368344774406447,0.6482803818921875,0.01144590445154281,3.218531379328212,3.9520849777979086
doppler_slope,0.6539484402703893,0.6628798268327506,0.008931386562361254,2.480483812809311,3.3846341178307617
doppler_std,0.6483932116982704,0.651294314154981,0.0029011024567106025,3.023806753909444,4.427564367833094
peak_index_mean,0.0,0.0,0.0,1.2160192926307443,1.6213590568410041
peak_index_std,0.0,0.0,0.0,0.9120857080889746,1.2913456038003142
dmcpd_pair1_abs_asym_mean,0.6370996391821888,0.62714487060465,-0.009954768577538853,3.2739274262120253,3.900064330482646
tap_L4_rel_prompt_mean,0.6545627288276837,0.6128269399962633,-0.041735788831420484,2.783801043608325,2.787978288051541
tap_E4_mean,1.530380445898511,1.3760743501249095,-0.15430609577360155,1.9255243309309964,1.9948864763931162
