scenario,score_col,threshold,th,pre_windows,post_windows,pre_fp_rate,post_det_rate,post_flags,first_delay_s
ds1,ai_rmse_q65_binom_btail70_lam2,q99_9,0.6643565076709982,168,702,0.0,0.03561253561253561,25,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.25,q90,0.2031088799693759,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.25,q95,0.22481907269444978,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.25,q99,0.29316251369748386,168,702,0.0,0.9558404558404558,671,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.25,q99_5,0.3309588652866488,168,702,0.0,0.8846153846153846,621,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.25,q99_9,0.42653736288768923,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.5,q90,0.23586754959418862,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.5,q95,0.259746373009504,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.5,q99,0.32714678739376646,168,702,0.0,0.9558404558404558,671,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.5,q99_5,0.3656113304716658,168,702,0.0,0.9017094017094017,633,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.5,q99_9,0.46197637566994293,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.75,q90,0.26965969661945954,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.75,q95,0.2927203355523125,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.75,q99,0.3615455127016758,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.75,q99_5,0.4002637956566827,168,702,0.0,0.9145299145299145,642,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam0.75,q99_9,0.4974153884521965,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1,q90,0.30299312279406543,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1,q95,0.3271910344307195,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1,q99,0.3939148102701748,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1,q99_5,0.43491626084169965,168,702,0.0,0.9245014245014245,649,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1,q99_9,0.5328544012344502,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1.5,q90,0.36878147018463764,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1.5,q95,0.39832581338989287,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1.5,q99,0.46048241033499704,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1.5,q99_5,0.5042211912117335,168,702,0.0,0.9401709401709402,660,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam1.5,q99_9,0.6037324267989574,168,702,0.0,0.014245014245014245,10,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam2,q90,0.4351010853853276,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam2,q95,0.4679734526233188,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam2,q99,0.5285508175355899,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam2,q99_5,0.5735261215817674,168,702,0.0,0.9458689458689459,664,25.040794759999997
ds1,ai_rmse_q65_binom_btail_mean_507080_lam2,q99_9,0.6746104523634648,168,702,0.0,0.014245014245014245,10,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.25,q90,0.2024251625943442,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.25,q95,0.22540291050696903,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.25,q99,0.29392864461332213,168,702,0.0,0.9558404558404558,671,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.25,q99_5,0.3308148367173784,168,702,0.0,0.886039886039886,622,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.25,q99_9,0.4260148979892524,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.5,q90,0.23553885058952623,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.5,q95,0.2585389519247358,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.5,q99,0.3277520618483564,168,702,0.0,0.9558404558404558,671,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.5,q99_5,0.36532327333312486,168,702,0.0,0.905982905982906,636,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.5,q99_9,0.46093144587306917,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.75,q90,0.2683692332257969,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.75,q95,0.2921905218785084,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.75,q99,0.3610615743316922,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.75,q99_5,0.39983170994887135,168,702,0.0,0.9173789173789174,644,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam0.75,q99_9,0.495847993756886,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1,q90,0.30060513542069733,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1,q95,0.32599652970325543,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1,q99,0.39471803755492835,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1,q99_5,0.43453856324229806,168,702,0.0,0.9259259259259259,650,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1,q99_9,0.5307645416407027,168,702,0.0,0.014245014245014245,10,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1.5,q90,0.36748540249488343,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1.5,q95,0.39582792970301467,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1.5,q99,0.4606351044955723,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1.5,q99_5,0.5042045252259698,168,702,0.0,0.9401709401709402,660,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam1.5,q99_9,0.6005976374083364,168,702,0.0,0.014245014245014245,10,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam2,q90,0.43288831140322787,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam2,q95,0.465327686251904,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam2,q99,0.5307627701969155,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam2,q99_5,0.5734712043946544,168,702,0.0,0.9458689458689459,664,25.040794759999997
ds1,ai_rmse_q65_binom_btail_max_507080_lam2,q99_9,0.67043073317597,168,702,0.0,0.018518518518518517,13,25.040794759999997
ds2,ai_rmse_q,q90,0.18903206288814545,169,692,0.0,1.0,692,10.371334480000002
ds2,ai_rmse_q,q95,0.21795486003160475,169,692,0.0,1.0,692,10.371334480000002
ds2,ai_rmse_q,q99,0.2959910968244072,169,692,0.0,0.5447976878612717,377,10.371334480000002
ds2,ai_rmse_q,q99_5,0.37719826676696533,169,692,0.0,0.004335260115606936,3,10.371334480000002
ds2,ai_rmse_q,q99_9,0.49577592371851364,169,692,0.0,0.0,0,
ds2,ai_rmse_q65,q90,0.1709501744806766,169,692,0.005917159763313609,1.0,692,10.371334480000002
ds2,ai_rmse_q65,q95,0.1912437710538506,169,692,0.0,1.0,692,10.371334480000002
ds2,ai_rmse_q65,q99,0.25917824000120127,169,692,0.0,0.9855491329479769,682,10.371334480000002
ds2,ai_rmse_q65,q99_5,0.29630640010163184,169,692,0.0,0.43641618497109824,302,10.371334480000002
ds2,ai_rmse_q65,q99_9,0.3910983501054356,169,692,0.0,0.001445086705202312,1,79.37133448
ds2,ai_rmse_mean,q90,0.309336300925775,169,692,0.0,0.25,173,10.371334480000002
ds2,ai_rmse_mean,q95,0.4353104509921236,169,692,0.0,0.024566473988439308,17,17.87133448
ds2,ai_rmse_mean,q99,0.5997058920399707,169,692,0.0,0.001445086705202312,1,52.87133448
ds2,ai_rmse_mean,q99_5,0.6885577907487748,169,692,0.0,0.0,0,
ds2,ai_rmse_mean,q99_9,0.9696458740577336,169,692,0.0,0.0,0,
ds2,ai_rmse_top3_mean,q90,0.8484882379571599,169,692,0.0,0.031791907514450865,22,16.87133448
ds2,ai_rmse_top3_mean,q95,1.2179304659366605,169,692,0.0,0.01300578034682081,9,48.87133448
ds2,ai_rmse_top3_mean,q99,1.82306379199028,169,692,0.0,0.0,0,
ds2,ai_rmse_top3_mean,q99_5,2.1111431275556476,169,692,0.0,0.0,0,
ds2,ai_rmse_top3_mean,q99_9,3.109057335838749,169,692,0.0,0.0,0,
ds2,btail70,q90,1.8953326990332149,169,692,0.0,1.0,692,10.371334480000002
ds2,btail70,q95,3.050209845006388,169,692,0.0,1.0,692,10.371334480000002
ds2,btail70,q99,4.54764887800219,169,692,0.0,1.0,692,10.371334480000002
ds2,btail70,q99_5,5.451260176144335,169,692,0.0,1.0,692,10.371334480000002
ds2,btail70,q99_9,6.679247420108968,169,692,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080,q90,1.981259664637852,169,692,0.0,1.0,692,10.371334480000002
