window_mid_s,score_mean,score_consensus_gate,prn_count,prn_high_count,prn_high_fraction
73.5,2.5970938422008563,2.833193282400934,11,1,0.09090909090909091
74.0,2.67949515338754,2.9230856218773162,11,1,0.09090909090909091
74.5,2.7108585781159293,3.203741955955189,11,2,0.18181818181818182
75.0,1.246345560185645,1.4956146722227739,10,2,0.2
75.5,1.0777693816699139,1.1855463198369054,10,1,0.1
76.0,1.0583192157135781,1.0583192157135781,10,0,0.0
76.5,1.0373706234766575,1.1411076858243234,10,1,0.1
77.0,0.8956507544744353,0.8956507544744353,10,0,0.0
77.5,1.1290577261737793,1.354869271408535,10,2,0.2
78.0,1.1718374935640783,1.2890212429204861,10,1,0.1
78.5,1.0444400211810576,1.0444400211810576,10,0,0.0
79.0,1.082710352301338,1.082710352301338,10,0,0.0
79.5,1.0980096080923356,1.0980096080923356,10,0,0.0
80.0,1.0214031735443325,1.0214031735443325,10,0,0.0
80.5,1.1991113970459317,1.319022536750525,10,1,0.1
81.0,1.354033570651709,1.624840284782051,10,2,0.2
81.5,1.1526814902017133,1.2679496392218848,10,1,0.1
82.0,1.03194930934307,1.1351442402773773,10,1,0.1
82.5,1.1509757846664326,1.2660733631330758,10,1,0.1
83.0,1.0654442612402055,1.0654442612402055,10,0,0.0
83.5,0.9340507424424682,0.9340507424424682,10,0,0.0
84.0,1.0710962356978868,1.0710962356978868,10,0,0.0
84.5,1.125149384776077,1.2376643232536848,10,1,0.1
85.0,1.250715555917689,1.6259302226929957,10,3,0.3
85.5,1.0084804115969888,1.1093284527566878,10,1,0.1
86.0,0.9714280112376095,0.9714280112376095,10,0,0.0
86.5,0.9383138719605769,0.9383138719605769,10,0,0.0
87.0,1.1506427236032812,1.3807712683239375,10,2,0.2
87.5,1.2092527148136578,1.3301779862950236,10,1,0.1
88.0,0.9441244237844428,0.9441244237844428,10,0,0.0
88.5,0.9716932147039978,1.0688625361743977,10,1,0.1
89.0,0.9939008995958938,1.0932909895554832,10,1,0.1
89.5,1.021169159409256,1.1232860753501817,10,1,0.1
90.0,1.0852522495111538,1.3023026994133846,10,2,0.2
90.5,1.1069438506412341,1.2176382357053577,10,1,0.1
91.0,1.115165178050296,1.3381982136603552,10,2,0.2
91.5,0.9311855947164227,0.9311855947164227,10,0,0.0
92.0,0.9029136078019556,0.9932049685821512,10,1,0.1
92.5,1.1299414656143267,1.2429356121757595,10,1,0.1
93.0,1.0524854405945727,1.15773398465403,10,1,0.1
93.5,1.054134409010397,1.159547849911437,10,1,0.1
94.0,0.9942775984143581,1.093705358255794,10,1,0.1
94.5,1.1192299998512916,1.3430759998215498,10,2,0.2
