scenario,threshold,comparison,held_out_clean_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection,persistent_detection,first_sustained_3_delay_s,q99,q995,count,alarms,exact_binomial_ci_low,exact_binomial_ci_high,held_out_clean_exact_binomial_ci_low,held_out_clean_exact_binomial_ci_high,held_out_clean_count,stable_pre_exact_binomial_ci_low,stable_pre_exact_binomial_ci_high,stable_pre_count,post_exact_binomial_ci_low,post_exact_binomial_ci_high,post_count,persistent_exact_binomial_ci_low,persistent_exact_binomial_ci_high,persistent_count,model,operating_point,calibration_q99,calibration_q995,calibration_count,model_seed,policy_seed,delta_roc_auc_vs_primary,delta_post_detection_vs_primary,matched_target_fpr,common_timestamp_count
DS2,1.1496953412856248,strict_greater,,0.74,0.07448179271708684,0.7272088770640919,0.06442577030812324,0.031545741324921134,0.0,1.1586960052094784,1.1586960052094784,714,46,0.04755024125330309,0.08500283363901072,,,0,0.6426879368998963,0.8226055621323475,100,0.04755024125330309,0.08500283363901072,714,0.01937327868932002,0.0483007516326122,634,seed::complex all9::model202::policyNone,q995,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS3,1.149622880102413,strict_greater,,0.63,0.17706703910614524,0.8151678029329459,0.19134078212290503,0.16823899371069181,0.0,1.1599482276403377,1.1599482276403377,716,137,0.16315025695249724,0.22210063077342995,,,0,0.527648359448317,0.7244334203854486,100,0.16315025695249724,0.22210063077342995,716,0.13997546896998364,0.1996215709483133,636,seed::complex all9::model202::policyNone,q99,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS3,1.1496953412856248,strict_greater,,0.63,0.17706703910614524,0.8151678029329459,0.18994413407821228,0.16823899371069181,0.0,1.1599482276403377,1.1599482276403377,716,136,0.1618397721552981,0.22062966395363398,,,0,0.527648359448317,0.7244334203854486,100,0.1618397721552981,0.22062966395363398,716,0.13997546896998364,0.1996215709483133,636,seed::complex all9::model202::policyNone,q995,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS7,1.149622880102413,strict_greater,,1.0,0.22505192107995847,0.6650628079827708,1.0,1.0,0.0,1.1996454180339604,1.1998802477663904,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex all9::model202::policyNone,q99,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS7,1.1496953412856248,strict_greater,,1.0,0.22505192107995847,0.6650628079827708,1.0,1.0,0.0,1.1996454180339604,1.1998802477663904,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex all9::model202::policyNone,q995,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS8,1.149622880102413,strict_greater,,1.0,0.4479398148148148,0.8904852426162587,1.0,1.0,0.0,1.1998200585303707,1.1998794248568794,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex all9::model202::policyNone,q99,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS8,1.1496953412856248,strict_greater,,1.0,0.4479398148148148,0.8904852426162587,1.0,1.0,0.0,1.1998200585303707,1.1998794248568794,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex all9::model202::policyNone,q995,1.149622880102413,1.1496953412856248,125,202,None,,,,
cleanStatic,0.7335180917365836,strict_greater,0.037383177570093455,,,,,,,0.7440174713276758,0.7570929510810351,107,4,0.010278000727758071,0.09295471054939439,0.010278000727758071,0.09295471054939439,107,,,0,,,0,,,0,seed::complex all9::model303::policyNone,q99,0.7335180917365836,0.7364607464385502,125,303,None,,,,
cleanStatic,0.7364607464385502,strict_greater,0.028037383177570093,,,,,,,0.7440174713276758,0.7570929510810351,107,3,0.005819728791506875,0.07975465583240321,0.005819728791506875,0.07975465583240321,107,,,0,,,0,,,0,seed::complex all9::model303::policyNone,q995,0.7335180917365836,0.7364607464385502,125,303,None,,,,
DS1,0.7335180917365836,strict_greater,,0.0,0.6401521438450899,0.9303751557789357,0.040110650069156296,0.04354587869362364,45.5,0.732077282615871,0.732077282615871,723,29,0.027024434224623653,0.05709977727463117,,,0,0.0,0.03621669264517641,100,0.027024434224623653,0.05709977727463117,723,0.02912782665665064,0.0623233311787998,643,seed::complex all9::model303::policyNone,q99,0.7335180917365836,0.7364607464385502,125,303,None,,,,
