scenario,model,model_seed,policy_seed,ordered_path,count,fraction
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-2-0,30,0.0033921302578018998
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-2-6,32,0.003618272274988693
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-2-7,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-6-0,18,0.0020352781546811396
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-6-2,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-6-7,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-7-0,17,0.001922207146087743
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-7-2,20,0.002261420171867933
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-7-6,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-1-6,33,0.0037313432835820895
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-1-7,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-1-8,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-6-1,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-6-7,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-6-8,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-7-1,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-7-6,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-7-8,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-8-1,16,0.0018091361374943465
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-8-6,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-2-0-8-7,36,0.004070556309362279
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-0-6,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-0-7,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-0-8,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-6-0,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-6-7,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-6-8,31,0.0035052012663952963
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-7-0,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-7-6,20,0.002261420171867933
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-7-8,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-8-0,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-8-6,37,0.004183627317955676
cleanStatic,complex random K7 policy11,101,11,3-5-2-1-8-7,17,0.001922207146087743
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-0-1,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-0-7,18,0.0020352781546811396
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-0-8,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-1-0,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-1-7,31,0.0035052012663952963
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-1-8,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-7-0,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-7-1,18,0.0020352781546811396
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-7-8,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-8-0,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-8-1,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-2-6-8-7,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-0-1,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-0-6,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-0-8,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-1-0,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-1-6,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-1-8,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-6-0,15,0.0016960651289009499
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-6-1,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-6-8,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-8-0,17,0.001922207146087743
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-8-1,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-2-7-8-6,16,0.0018091361374943465
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-0-1,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-0-6,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-0-7,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-1-0,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-1-6,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-1-7,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-6-0,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-6-1,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-6-7,20,0.002261420171867933
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-7-0,16,0.0018091361374943465
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-7-1,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-2-8-7-6,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-1-2,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-1-7,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-1-8,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-2-1,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-2-7,33,0.0037313432835820895
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-2-8,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-7-1,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-7-2,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-7-8,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-8-1,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-8-2,15,0.0016960651289009499
cleanStatic,complex random K7 policy11,101,11,3-5-6-0-8-7,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-6-1-0-2,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-6-1-0-7,17,0.001922207146087743
cleanStatic,complex random K7 policy11,101,11,3-5-6-1-0-8,25,0.0028267752148349165
