dataset,window_ms,feature,seed,roc_auc,low_fpr_standardized_pauc_0_05,pr_auc,eer,balanced_accuracy,threshold,positive_pairs,negative_pairs
OAKBAT.cleanStatic,500,B5_second_order,2026081903,0.6070918367346939,0.5290423861852434,0.6140649685203101,0.44285714285714284,0.5499999999999999,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081904,0.5910714285714285,0.5426478283621141,0.618148115952726,0.44285714285714284,0.5571428571428572,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081905,0.5799489795918367,0.5321821036106751,0.600907807600712,0.4535714285714286,0.5535714285714286,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081906,0.5993877551020408,0.5363683935112507,0.6244654576365879,0.4357142857142857,0.5571428571428572,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081907,0.6103061224489796,0.5358451072736787,0.6338049676265909,0.43214285714285716,0.5571428571428572,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081908,0.590765306122449,0.5285190999476714,0.6087791139208076,0.4392857142857143,0.5571428571428572,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081909,0.6099489795918367,0.5410779696493982,0.6390963774228446,0.44285714285714284,0.5642857142857143,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081910,0.6047959183673469,0.5096807953950812,0.59063091012284,0.4357142857142857,0.5392857142857143,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081901,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081902,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081903,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081904,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081905,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081906,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081907,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081908,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081909,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B6_code_only,2026081910,0.5,0.5,0.5,0.5,0.5,-0.0,140,140
OAKBAT.cleanStatic,500,B7_CHORD,2026081901,0.7923469387755102,0.5034013605442177,0.7220631318099584,0.28928571428571426,0.7392857142857143,-38.90392282708048,140,140
