awgn_seed,case_id,complex_scalar_imag,complex_scalar_real,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
,TEXBAT.cleanStatic.single.11,0.0,1.1209477888786017,GAIN_RMS_MATCHED,-23.10920938383788,-0.35,-75.0,TEXBAT.cleanStatic,299.06237457925454,322.1715839630924,,True,13
20260831,TEXBAT.cleanStatic.single.11,,,AWGN_TAP_DOMAIN,-15.503482784610242,-0.125,-15.0,TEXBAT.cleanStatic,299.06237457925454,314.5658573638648,2149504.074516689,True,13
,TEXBAT.cleanStatic.single.12,0.0,1.0429131410070847,GAIN_RMS_MATCHED,-23.167401494109072,-0.35,-75.0,TEXBAT.cleanStatic,2665.390222468879,2688.557623962988,,False,16
20260834,TEXBAT.cleanStatic.single.12,,,AWGN_TAP_DOMAIN,-14.168787197675556,-0.35,0.0,TEXBAT.cleanStatic,2665.390222468879,2679.5590096665546,1250894.345167392,False,16
,TEXBAT.cleanStatic.single.13,0.0,1.3640177870245944,GAIN_RMS_MATCHED,-18.169554298001458,-0.35,-75.0,TEXBAT.cleanStatic,297.32799683886697,315.4975511368684,,True,19
20260837,TEXBAT.cleanStatic.single.13,,,AWGN_TAP_DOMAIN,-10.048204116843408,-0.3,0.0,TEXBAT.cleanStatic,297.32799683886697,307.3762009557104,3236774.2610527584,True,19
,TEXBAT.cleanStatic.single.14,0.0,1.621148764454977,GAIN_RMS_MATCHED,-23.15697692229878,-0.35,-75.0,TEXBAT.cleanStatic,72.22721444396302,95.3841913662618,,False,30
20260848,TEXBAT.cleanStatic.single.14,,,AWGN_TAP_DOMAIN,-17.711614736821502,0.125,40.0,TEXBAT.cleanStatic,72.22721444396302,89.93882918078452,434132.01013649226,False,30
,TEXBAT.cleanStatic.single.15,0.0,1.1095740505361018,GAIN_RMS_MATCHED,-23.148530250415206,-0.35,-75.0,TEXBAT.cleanStatic,569.0017971196212,592.1503273700364,,False,3
20260821,TEXBAT.cleanStatic.single.15,,,AWGN_TAP_DOMAIN,-14.372113852296025,-0.25,65.0,TEXBAT.cleanStatic,569.0017971196212,583.3739109719172,1866971.8668050605,False,3
,TEXBAT.cleanStatic.single.16,0.0,1.0488770241994512,GAIN_RMS_MATCHED,-23.173429629881866,-0.35,-75.0,TEXBAT.cleanStatic,349.5102545018308,372.68368413171265,,False,13
20260831,TEXBAT.cleanStatic.single.16,,,AWGN_TAP_DOMAIN,-15.619693843182176,-0.25,30.0,TEXBAT.cleanStatic,349.5102545018308,365.12994834501296,1536535.5641291947,False,13
,TEXBAT.cleanStatic.single.17,0.0,1.410423353182259,GAIN_RMS_MATCHED,-16.847522493248107,-0.35,-75.0,TEXBAT.cleanStatic,416.7561957834405,433.6037182766886,,True,16
20260834,TEXBAT.cleanStatic.single.17,,,AWGN_TAP_DOMAIN,-9.255543887469685,-0.35,-35.0,TEXBAT.cleanStatic,416.7561957834405,426.0117396709102,4140874.8805207247,True,16
,TEXBAT.cleanStatic.single.18,0.0,1.2138551318192319,GAIN_RMS_MATCHED,-23.079641056945547,-0.35,-75.0,TEXBAT.cleanStatic,878.5642463797703,901.6438874367159,,True,19
