attack_label,attack_metric,budget,mask,number,selection_role,synthetic_teacher_spearman
NOT_USED_FOR_RANKING,,3,"[93,60,129]",164,SYNTHETIC_VALIDATION_ONLY,0.9503883978111966
NOT_USED_FOR_RANKING,,3,"[93,57,178]",165,SYNTHETIC_VALIDATION_ONLY,0.9467334678102672
NOT_USED_FOR_RANKING,,3,"[93,21,63]",166,SYNTHETIC_VALIDATION_ONLY,0.9729242173278448
NOT_USED_FOR_RANKING,,3,"[93,49,137]",167,SYNTHETIC_VALIDATION_ONLY,0.8847024287846237
NOT_USED_FOR_RANKING,,3,"[93,75,173]",168,SYNTHETIC_VALIDATION_ONLY,0.9199916908561151
NOT_USED_FOR_RANKING,,3,"[93,0,13]",169,SYNTHETIC_VALIDATION_ONLY,0.9411510350897333
NOT_USED_FOR_RANKING,,3,"[93,132,185]",170,SYNTHETIC_VALIDATION_ONLY,0.8615598231027001
NOT_USED_FOR_RANKING,,3,"[93,33,35]",171,SYNTHETIC_VALIDATION_ONLY,0.8167221520682661
NOT_USED_FOR_RANKING,,3,"[93,107,124]",172,SYNTHETIC_VALIDATION_ONLY,0.9180789477999902
NOT_USED_FOR_RANKING,,3,"[93,39,97]",173,SYNTHETIC_VALIDATION_ONLY,0.9680491551459293
NOT_USED_FOR_RANKING,,3,"[93,71,163]",174,SYNTHETIC_VALIDATION_ONLY,0.971512756175826
NOT_USED_FOR_RANKING,,3,"[93,65,68]",175,SYNTHETIC_VALIDATION_ONLY,0.8927524585772778
NOT_USED_FOR_RANKING,,3,"[93,51,105]",176,SYNTHETIC_VALIDATION_ONLY,0.7975138166849796
NOT_USED_FOR_RANKING,,3,"[93,37,145]",177,SYNTHETIC_VALIDATION_ONLY,0.968709513423094
NOT_USED_FOR_RANKING,,3,"[93,140,172]",178,SYNTHETIC_VALIDATION_ONLY,0.8835888941732127
NOT_USED_FOR_RANKING,,3,"[93,9,64]",179,SYNTHETIC_VALIDATION_ONLY,0.9472626290787238
NOT_USED_FOR_RANKING,,3,"[93,99,123]",180,SYNTHETIC_VALIDATION_ONLY,0.9393793288179696
NOT_USED_FOR_RANKING,,3,"[93,91,159]",181,SYNTHETIC_VALIDATION_ONLY,0.9433103191913891
NOT_USED_FOR_RANKING,,3,"[93,11,81]",182,SYNTHETIC_VALIDATION_ONLY,0.9354177258091849
NOT_USED_FOR_RANKING,,3,"[93,54,168]",183,SYNTHETIC_VALIDATION_ONLY,0.9140205869972832
NOT_USED_FOR_RANKING,,3,"[93,24,132]",184,SYNTHETIC_VALIDATION_ONLY,0.9670110588145256
NOT_USED_FOR_RANKING,,3,"[93,22,87]",185,SYNTHETIC_VALIDATION_ONLY,0.9174344424947111
NOT_USED_FOR_RANKING,,3,"[93,61,173]",186,SYNTHETIC_VALIDATION_ONLY,0.9636207094478246
NOT_USED_FOR_RANKING,,3,"[93,92,120]",187,SYNTHETIC_VALIDATION_ONLY,0.8035046000951178
NOT_USED_FOR_RANKING,,3,"[93,63,128]",188,SYNTHETIC_VALIDATION_ONLY,0.9483876434283965
NOT_USED_FOR_RANKING,,3,"[93,131,150]",189,SYNTHETIC_VALIDATION_ONLY,0.9064253735014841
NOT_USED_FOR_RANKING,,3,"[93,23,106]",190,SYNTHETIC_VALIDATION_ONLY,0.9398674910212046
NOT_USED_FOR_RANKING,,3,"[93,6,55]",191,SYNTHETIC_VALIDATION_ONLY,0.9297396286031345
NOT_USED_FOR_RANKING,,3,"[93,6,149]",192,SYNTHETIC_VALIDATION_ONLY,0.9688161109926694
NOT_USED_FOR_RANKING,,3,"[93,53,105]",193,SYNTHETIC_VALIDATION_ONLY,0.8272446988208668
NOT_USED_FOR_RANKING,,3,"[93,90,106]",194,SYNTHETIC_VALIDATION_ONLY,0.8532637989187181
NOT_USED_FOR_RANKING,,3,"[93,26,79]",195,SYNTHETIC_VALIDATION_ONLY,0.9569422350503743
NOT_USED_FOR_RANKING,,3,"[93,160,162]",196,SYNTHETIC_VALIDATION_ONLY,0.9568405573686254
NOT_USED_FOR_RANKING,,3,"[93,108,169]",197,SYNTHETIC_VALIDATION_ONLY,0.9368488665125102
NOT_USED_FOR_RANKING,,3,"[93,19,65]",198,SYNTHETIC_VALIDATION_ONLY,0.9192077887290837
NOT_USED_FOR_RANKING,,3,"[93,107,144]",199,SYNTHETIC_VALIDATION_ONLY,0.9591184654323216
NOT_USED_FOR_RANKING,,5,"[93,56,110,157,159]",0,SYNTHETIC_VALIDATION_ONLY,0.9426204415872651
NOT_USED_FOR_RANKING,,5,"[93,9,21,111,132]",1,SYNTHETIC_VALIDATION_ONLY,0.9757832188092779
