scenario,phase,second,time_s,channel,prn,raw_start_sample,raw_end_sample,raw_power,prompt_magnitude,method,budget,score
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,analytic_sparse_k9,9,0.10159368737258362
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,uniform_k9,9,0.041921468026177494
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,shuffled_k9,9,0.1571768803141852
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,ai_sparse_k3,3,0.039577238800626836
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,pg_scc_k3,3,0.012365703785469981
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,ai_sparse_k5,5,0.05032288900907378
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,pg_scc_k5,5,0.011952597878271132
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,ai_sparse_k9,9,0.06350014569746242
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,pg_scc_k9,9,0.009966463755639698
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,epl3,3,0.15855925608649007
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,fixed9,9,0.05799185651730844
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random1_k3,3,0.2158561494913067
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random2_k3,3,0.21929320837891988
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random3_k3,3,0.09309440037884305
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random4_k3,3,0.07992644207749323
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random5_k3,3,0.19638026512684278
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random1_k5,5,0.0562116403083462
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random2_k5,5,0.024634445539015094
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random3_k5,5,0.09750286481113161
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random4_k5,5,0.06974915958740287
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random5_k5,5,0.03175838662194904
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random1_k9,9,0.08940465995511498
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random2_k9,9,0.07238133240219463
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random3_k9,9,0.028645501581317106
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random4_k9,9,0.023494292072875702
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,random5_k9,9,0.08025504128445737
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,dense_two_source_glrt,187,2.13986916459117
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,dense_one_source_residual,187,5.676288515935988
