scenario,family,method,budget,roc_auc,pr_auc,normalized_low_fpr_pauc,events,alarms,detection_rate,first_alarm_delay_s,persistent_alarm_ratio,external_pre_events,external_pre_alarms,external_pre_fpr,clean_holdout_events,clean_holdout_alarms,clean_holdout_fpr,clean_holdout_fpr_ci95,claim_scope
ds4,ds4,fixed9,9,0.9635416666666666,0.9809782608695652,0.9679487179487178,16,15,0.9375,0.1945079040000195,0.9375,12,2,0.16666666666666666,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,pg_scc_k3,3,0.984375,0.9901315789473684,0.9679487179487178,16,15,0.9375,0.1945079040000195,0.9375,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,pg_scc_k5,5,0.9895833333333333,0.9924172794117647,0.9358974358974359,16,16,1.0,0.02820790800001305,1.0,12,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_only
ds4,ds4,pg_scc_k9,9,0.8854166666666667,0.8932244164611618,0.6153846153846154,16,7,0.4375,0.02820790800001305,0.4375,12,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_only
ds4,ds4,random1_k3,3,0.953125,0.9775,0.9679487179487178,16,15,0.9375,0.1945079040000195,0.9375,12,1,0.08333333333333333,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_only
ds4,ds4,random1_k5,5,0.9635416666666666,0.9809782608695652,0.9679487179487178,16,15,0.9375,0.1945079040000195,0.9375,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random1_k9,9,0.953125,0.9775,0.9679487179487178,16,15,0.9375,0.1945079040000195,0.9375,12,1,0.08333333333333333,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random2_k3,3,0.9166666666666666,0.9572303921568628,0.8717948717948718,16,9,0.5625,1.2167081079999917,0.5625,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random2_k5,5,0.953125,0.9775,0.9679487179487178,16,15,0.9375,0.1945079040000195,0.9375,12,2,0.16666666666666666,12,3,0.25,"[0.05486064452799274, 0.5718584618781891]",transition_only
ds4,ds4,random2_k9,9,0.90625,0.948982683982684,0.8717948717948718,16,4,0.25,0.1945079040000195,0.25,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random3_k3,3,0.96875,0.9829545454545454,0.9679487179487178,16,15,0.9375,0.1945079040000195,0.9375,12,3,0.25,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random3_k5,5,0.9375,0.9615084670231729,0.9038461538461539,16,10,0.625,0.1945079040000195,0.625,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random3_k9,9,0.984375,0.9901315789473684,0.9679487179487178,16,11,0.6875,0.1945079040000195,0.6875,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random4_k3,3,0.90625,0.9303233225108225,0.7435897435897436,16,8,0.5,1.2167081079999917,0.5,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random4_k5,5,0.9166666666666666,0.9430149537962038,0.7435897435897436,16,14,0.875,0.1945079040000195,0.875,12,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_only
ds4,ds4,random4_k9,9,0.9322916666666666,0.9591894137517707,0.8717948717948718,16,9,0.5625,1.2167081079999917,0.5625,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random5_k3,3,0.828125,0.8509154040404041,0.5512820512820513,16,14,0.875,0.1945079040000195,0.875,12,3,0.25,12,2,0.16666666666666666,"[0.02086252546009238, 0.48413774868596704]",transition_only
ds4,ds4,random5_k5,5,0.9270833333333334,0.9630174291938998,0.9038461538461539,16,12,0.75,1.2167081079999917,0.75,12,1,0.08333333333333333,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
ds4,ds4,random5_k9,9,1.0,1.0,1.0,16,12,0.75,1.2167081079999917,0.75,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_only
